Datetime,Water Level (m)
2024-06-06 06:00:00,0.36169592
2024-06-06 07:00:00,-0.074015245
2024-06-06 08:00:00,-0.49578765
2024-06-06 09:00:00,-0.7903603
2024-06-06 10:00:00,-0.8099427
2024-06-06 11:00:00,-0.48447624
2024-06-06 12:00:00,0.03538351
2024-06-06 13:00:00,0.5294067
2024-06-06 14:00:00,0.9123705
2024-06-06 15:00:00,1.0295193
2024-06-06 16:00:00,0.84014136
2024-06-06 17:00:00,0.46300396
2024-06-06 18:00:00,0.041456018
2024-06-06 19:00:00,-0.36985016
2024-06-06 20:00:00,-0.70858854
2024-06-06 21:00:00,-0.92431235
2024-06-06 22:00:00,-0.88353026
2024-06-06 23:00:00,-0.5028944
2024-06-07 00:00:00,0.030742588
2024-06-07 01:00:00,0.5807632
2024-06-07 02:00:00,1.0906023
2024-06-07 03:00:00,1.4403495
2024-06-07 04:00:00,1.4711118
2024-06-07 05:00:00,1.1594427
2024-06-07 06:00:00,0.66607994
2024-06-07 07:00:00,0.18174244
2024-06-07 08:00:00,-0.2627687
2024-06-07 09:00:00,-0.6421613
2024-06-07 10:00:00,-0.8465575
2024-06-07 11:00:00,-0.7199887
2024-06-07 12:00:00,-0.30240968
2024-06-07 13:00:00,0.19100662
2024-06-07 14:00:00,0.6227922
2024-06-07 15:00:00,0.90652955
2024-06-07 16:00:00,0.9485807
2024-06-07 17:00:00,0.7264259
2024-06-07 18:00:00,0.35723692
2024-06-07 19:00:00,-0.05231116
2024-06-07 20:00:00,-0.43888292
2024-06-07 21:00:00,-0.75277823
2024-06-07 22:00:00,-0.90273577
2024-06-07 23:00:00,-0.7361555
2024-06-08 00:00:00,-0.2666963
2024-06-08 01:00:00,0.27160296
2024-06-08 02:00:00,0.78833055
2024-06-08 03:00:00,1.2056142
2024-06-08 04:00:00,1.4354308
2024-06-08 05:00:00,1.3383068
2024-06-08 06:00:00,0.9526987
2024-06-08 07:00:00,0.5055421
2024-06-08 08:00:00,0.06650457
2024-06-08 09:00:00,-0.34943628
2024-06-08 10:00:00,-0.6713839
2024-06-08 11:00:00,-0.783331
2024-06-08 12:00:00,-0.5734733
2024-06-08 13:00:00,-0.1336001
2024-06-08 14:00:00,0.31160817
2024-06-08 15:00:00,0.6857467
2024-06-08 16:00:00,0.8785486
2024-06-08 17:00:00,0.8481016
2024-06-08 18:00:00,0.5872867
2024-06-08 19:00:00,0.21179035
2024-06-08 20:00:00,-0.16771093
2024-06-08 21:00:00,-0.49402478
2024-06-08 22:00:00,-0.7468748
2024-06-08 23:00:00,-0.8204425
2024-06-09 00:00:00,-0.56880146
2024-06-09 01:00:00,-0.09495453
2024-06-09 02:00:00,0.41482198
2024-06-09 03:00:00,0.9111797
2024-06-09 04:00:00,1.2751138
2024-06-09 05:00:00,1.390042
2024-06-09 06:00:00,1.1881422
2024-06-09 07:00:00,0.7823833
2024-06-09 08:00:00,0.35414323
2024-06-09 09:00:00,-0.039128058
2024-06-09 10:00:00,-0.38751954
2024-06-09 11:00:00,-0.6348173
2024-06-09 12:00:00,-0.66564685
2024-06-09 13:00:00,-0.3931692
2024-06-09 14:00:00,0.028506717
2024-06-09 15:00:00,0.42225146
2024-06-09 16:00:00,0.7382469
2024-06-09 17:00:00,0.8804385
2024-06-09 18:00:00,0.7812147
2024-06-09 19:00:00,0.4831625
2024-06-09 20:00:00,0.122605525
2024-06-09 21:00:00,-0.21335505
2024-06-09 22:00:00,-0.49070662
2024-06-09 23:00:00,-0.6778662
2024-06-10 00:00:00,-0.6354809
2024-06-10 01:00:00,-0.30647483
2024-06-10 02:00:00,0.13321234
2024-06-10 03:00:00,0.5919981
2024-06-10 04:00:00,1.0141771
2024-06-10 05:00:00,1.2746001
2024-06-10 06:00:00,1.2710717
2024-06-10 07:00:00,1.0161433
2024-06-10 08:00:00,0.62127566
2024-06-10 09:00:00,0.21990633
2024-06-10 10:00:00,-0.13806106
2024-06-10 11:00:00,-0.4371369
2024-06-10 12:00:00,-0.59854656
2024-06-10 13:00:00,-0.52301675
2024-06-10 14:00:00,-0.19643402
2024-06-10 15:00:00,0.16926754
2024-06-10 16:00:00,0.4851463
2024-06-10 17:00:00,0.7165341
2024-06-10 18:00:00,0.7925148
2024-06-10 19:00:00,0.66956216
2024-06-10 20:00:00,0.38938814
2024-06-10 21:00:00,0.081027985
2024-06-10 22:00:00,-0.19241242
2024-06-10 23:00:00,-0.42741865
2024-06-11 00:00:00,-0.5399054
2024-06-11 01:00:00,-0.43614736
2024-06-11 02:00:00,-0.10962856
2024-06-11 03:00:00,0.30290565
2024-06-11 04:00:00,0.7149762
2024-06-11 05:00:00,1.0359197
2024-06-11 06:00:00,1.1895459
2024-06-11 07:00:00,1.101109
2024-06-11 08:00:00,0.78730625
2024-06-11 09:00:00,0.4231905
2024-06-11 10:00:00,0.096999794
2024-06-11 11:00:00,-0.20069808
2024-06-11 12:00:00,-0.44611496
2024-06-11 13:00:00,-0.5311649
2024-06-11 14:00:00,-0.3854357
2024-06-11 15:00:00,-0.06278917
2024-06-11 16:00:00,0.25371116
2024-06-11 17:00:00,0.51541156
2024-06-11 18:00:00,0.6865979
2024-06-11 19:00:00,0.72384083
2024-06-11 20:00:00,0.56403697
2024-06-11 21:00:00,0.28777117
2024-06-11 22:00:00,0.029132705
2024-06-11 23:00:00,-0.18895862
2024-06-12 00:00:00,-0.3638898
2024-06-12 01:00:00,-0.434107
2024-06-12 02:00:00,-0.27667156
2024-06-12 03:00:00,0.06318739
2024-06-12 04:00:00,0.42567572
2024-06-12 05:00:00,0.7504127
2024-06-12 06:00:00,0.98835504
